"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v4_Female_q19",143,6,56,0,54,0,25,58,0,37,29,15,16,34,10,14,0,0,0,198,15,0,0,8,0,0,0,0,0,0,0,0,0,0,21,0,0,0,11,0,0
"v3_Female_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Female_q20",102,0,17,0,35,0,24,30,0,22,10,11,12,9,10,11,0,5,0,127,10,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0
"v3_Most_deprived_q1",2910,100,843,7,1489,80,133,3463,65,930,978,310,491,177,276,277,268,101,0,1253,510,11,0,95,0,6,0,6,64,0,0,0,7,0,18,0,0,0,11,0,0
"v4_Most_deprived_q1",2704,99,697,6,1442,72,126,3088,63,873,835,227,498,156,260,239,287,79,0,1115,504,7,0,58,0,6,0,5,59,0,0,0,0,0,9,0,0,0,7,0,0
"v3_Most_deprived_q2",4464,142,1493,12,2083,65,298,3473,61,1212,1110,422,853,420,470,388,225,99,0,2141,702,14,0,176,0,22,0,14,148,0,0,6,22,0,34,12,0,0,32,0,7
"v4_Most_deprived_q2",4065,110,1400,12,1887,69,203,3153,57,1100,1051,337,761,339,431,331,171,99,0,1790,623,15,0,169,0,13,0,10,95,0,0,6,16,0,24,0,0,0,15,0,6
"v3_Most_deprived_q3",3094,92,1228,14,1328,65,265,2023,47,779,803,300,575,336,336,226,65,81,0,1797,442,8,0,176,0,15,0,11,88,0,0,0,30,0,50,20,0,0,28,0,0
"v4_Most_deprived_q3",2745,72,1117,10,1211,48,205,1823,42,716,785,255,514,279,272,205,74,57,0,1580,360,9,0,140,0,11,0,9,69,0,0,0,14,0,42,9,0,0,22,0,5
"v3_Most_deprived_q4",1479,51,712,0,623,17,128,936,24,367,355,153,278,183,148,110,22,21,0,997,206,8,0,91,0,6,0,8,22,0,0,0,15,0,40,25,0,0,18,0,0
"v4_Most_deprived_q4",1888,78,810,9,773,28,176,1249,25,463,420,193,363,183,201,146,31,41,0,1078,254,6,0,101,0,10,0,10,48,0,0,0,9,0,17,8,0,0,16,0,0
"v3_Most_deprived_q5",1457,56,721,0,653,15,147,954,21,424,316,165,276,217,159,112,13,29,0,995,175,0,0,102,0,5,0,0,24,0,6,0,35,0,57,28,0,0,31,0,0
"v4_Most_deprived_q5",1532,52,733,0,643,26,159,1019,27,406,320,178,284,180,168,110,29,32,0,1041,195,0,0,105,0,5,0,8,39,0,0,0,12,0,31,11,0,0,28,0,0
"v3_Most_deprived_q6",1486,51,696,0,577,16,144,905,16,418,256,186,299,202,150,108,11,26,0,1087,158,0,0,109,0,7,0,5,36,0,6,0,66,0,65,53,0,0,36,0,5
"v4_Most_deprived_q6",1319,45,614,0,541,12,127,822,17,315,273,137,238,150,125,90,11,19,0,860,172,0,0,57,0,6,0,0,40,0,0,0,15,0,29,17,0,0,17,0,0
"v3_Most_deprived_q7",1011,45,557,0,411,10,102,628,10,317,221,130,182,137,99,62,12,8,0,813,119,6,0,96,0,9,0,7,17,0,0,0,65,0,55,40,0,0,39,0,0
"v4_Most_deprived_q7",948,43,479,0,415,12,97,603,8,249,200,114,198,106,121,84,5,14,0,730,118,0,0,78,0,0,0,5,23,0,6,0,29,0,30,24,0,0,18,0,0
"v3_Most_deprived_q8",676,45,350,0,297,6,84,439,6,234,151,86,131,106,72,56,0,6,0,624,96,0,0,63,0,5,0,5,10,0,0,0,39,0,42,33,0,0,28,0,0
"v4_Most_deprived_q8",871,33,428,0,325,6,97,611,5,266,172,151,170,114,91,84,6,16,0,739,121,0,0,72,0,7,0,5,19,0,0,0,37,0,23,38,0,0,22,0,0
"v3_Most_deprived_q9",765,32,359,0,330,5,79,496,0,255,152,106,152,93,85,53,0,21,0,709,94,8,0,67,0,7,0,0,12,0,6,0,49,0,56,36,0,0,35,0,0
"v4_Most_deprived_q9",790,43,408,0,330,10,112,547,11,272,162,128,166,105,79,68,0,17,0,701,101,0,0,63,0,6,0,0,23,0,0,0,49,0,48,37,0,0,22,0,0
"v3_Most_deprived_q10",667,23,338,0,287,7,77,428,0,229,129,89,123,85,55,51,0,14,0,597,58,0,0,60,0,0,0,0,11,0,5,0,46,0,46,15,0,0,28,0,0
"v4_Most_deprived_q10",693,29,326,0,325,0,76,443,0,229,141,128,128,104,69,53,0,11,0,629,65,0,0,74,0,11,0,6,12,0,0,0,58,0,43,36,0,0,18,0,0
"v3_Most_deprived_q11",595,28,270,0,239,7,74,335,5,172,111,86,108,80,49,39,0,13,0,561,61,0,0,61,0,10,0,8,8,0,0,0,32,0,46,16,0,0,26,0,0
"v4_Most_deprived_q11",578,32,253,0,257,5,76,420,0,211,105,102,96,101,65,46,0,12,0,573,69,6,0,65,0,9,0,0,13,0,0,0,71,0,42,37,0,0,42,0,0
"v3_Most_deprived_q12",596,27,266,0,252,0,79,377,0,176,113,68,127,81,70,41,0,10,0,580,70,0,0,73,0,7,0,6,11,0,0,0,24,0,53,18,0,0,30,0,0
"v4_Most_deprived_q12",655,31,293,0,246,5,69,414,0,203,137,93,106,93,57,39,0,20,0,647,74,5,0,63,0,0,0,7,8,0,6,0,60,5,58,47,0,0,42,0,0
"v3_Most_deprived_q13",352,15,141,0,156,0,38,171,0,115,72,52,60,38,35,29,0,5,0,338,33,0,0,25,0,0,0,0,6,0,0,0,7,0,37,14,0,0,18,0,0
"v4_Most_deprived_q13",476,21,215,0,192,0,64,262,6,169,86,80,83,68,40,23,0,9,0,504,50,0,0,56,0,6,0,5,8,0,0,0,38,0,38,22,0,0,30,0,6
"v3_Most_deprived_q14",431,15,140,0,179,5,73,249,0,134,76,69,68,32,33,28,0,9,0,427,51,0,0,30,0,5,0,0,8,0,0,0,6,0,29,13,0,0,15,0,0
"v4_Most_deprived_q14",404,16,186,0,164,0,62,250,0,147,86,58,69,83,34,27,0,0,0,462,43,5,0,52,0,8,0,0,8,0,0,0,25,0,56,24,0,0,31,0,0
"v3_Most_deprived_q15",246,10,87,0,111,0,39,149,0,82,50,50,31,22,28,17,0,0,0,255,37,0,0,15,0,0,0,0,0,0,0,0,8,0,19,7,0,0,13,0,0
"v4_Most_deprived_q15",291,14,118,0,134,0,39,184,0,113,63,47,53,54,39,23,0,7,0,296,33,0,0,41,0,7,0,0,6,0,0,0,9,0,37,0,0,0,24,0,0
"v3_Most_deprived_q16",289,13,99,0,113,0,42,135,0,74,46,57,34,22,28,19,0,0,0,291,37,0,0,16,0,0,0,0,0,0,0,0,5,0,10,0,0,0,11,0,0
"v4_Most_deprived_q16",266,13,109,0,138,0,58,169,0,110,58,60,37,58,27,28,0,6,0,327,37,0,0,31,0,0,0,5,0,0,6,0,0,0,53,10,0,0,21,0,0
"v3_Most_deprived_q17",235,5,64,0,114,0,50,131,0,86,37,75,27,15,28,15,0,8,0,245,27,0,0,19,0,0,0,0,5,0,0,0,5,0,16,0,0,0,9,0,0
"v4_Most_deprived_q17",220,7,76,0,84,0,39,112,0,88,41,48,26,36,19,18,0,8,0,259,34,0,0,20,0,0,0,0,0,0,0,0,8,0,40,7,0,0,9,0,0
"v3_Most_deprived_q18",96,0,17,0,40,0,16,59,0,24,13,27,14,6,12,11,0,0,0,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Most_deprived_q18",241,11,72,0,108,0,43,110,0,64,39,55,22,30,19,15,0,8,0,277,31,0,0,22,0,0,0,0,0,0,0,0,7,0,39,0,0,0,13,0,0
"v3_Most_deprived_q19",42,0,5,0,27,0,9,26,0,12,9,5,7,0,0,0,0,0,0,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Most_deprived_q19",108,0,38,0,45,0,24,64,0,29,17,27,13,13,11,10,0,0,0,135,7,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0
"v3_Most_deprived_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Most_deprived_q20",98,0,14,0,49,0,25,34,0,17,7,18,11,0,6,6,0,0,0,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"v3_Least_deprived_q1",2705,94,1067,22,1648,77,156,2640,103,875,899,126,475,318,318,304,208,81,0,1068,462,0,0,61,0,0,0,5,38,0,0,0,0,0,14,0,0,0,5,0,0
"v4_Least_deprived_q1",2849,91,1087,24,1712,81,146,2683,111,920,892,121,517,314,329,304,239,83,0,1124,504,0,0,57,0,0,0,0,41,0,0,0,0,0,12,0,0,0,0,0,0
"v3_Least_deprived_q2",2043,72,974,10,1073,46,100,1312,56,554,635,75,396,321,234,199,80,57,0,995,299,0,0,88,0,10,0,0,22,0,0,0,7,0,34,22,0,0,6,0,5
"v4_Least_deprived_q2",1958,70,1017,6,1021,47,108,1314,48,476,670,62,372,285,231,180,53,54,0,917,267,0,0,96,0,12,0,0,15,0,0,0,0,0,27,5,0,0,0,0,0
"v3_Least_deprived_q3",1385,79,895,0,696,36,116,916,25,351,438,84,292,274,165,121,16,38,0,862,183,0,0,94,0,8,0,0,14,0,0,0,33,0,65,31,0,0,6,0,0
"v4_Least_deprived_q3",1109,58,713,0,527,27,87,722,24,313,328,71,219,165,122,102,11,31,0,685,123,0,0,64,0,0,0,0,14,0,0,0,8,0,35,7,0,0,7,0,0
"v3_Least_deprived_q4",716,35,471,0,303,13,61,455,8,208,198,39,148,130,66,62,5,13,0,418,73,0,0,75,0,0,0,0,6,0,0,0,25,0,52,20,0,0,17,0,0
"v4_Least_deprived_q4",770,35,508,0,354,15,46,479,9,194,199,38,177,120,80,69,7,12,0,442,82,0,0,47,0,5,0,0,7,0,0,0,10,0,30,8,0,0,6,0,0
"v3_Least_deprived_q5",742,28,454,0,335,12,56,546,15,222,157,55,174,139,75,81,0,20,0,460,64,9,0,103,0,0,0,0,5,0,0,0,53,0,51,56,0,0,25,0,0
"v4_Least_deprived_q5",625,35,397,0,287,10,49,413,11,185,156,45,145,110,71,60,0,14,0,342,83,0,0,57,0,0,0,0,5,0,0,0,19,0,38,12,0,0,11,0,0
"v3_Least_deprived_q6",732,44,465,0,276,8,48,549,7,226,150,65,136,153,78,39,0,18,0,459,88,18,0,130,0,5,0,0,0,0,0,0,97,0,78,66,0,0,49,0,0
"v4_Least_deprived_q6",536,33,292,0,208,12,38,371,0,143,130,36,102,93,51,37,0,12,0,340,47,0,0,65,0,0,0,0,0,0,0,0,16,0,32,24,0,0,11,0,0
"v3_Least_deprived_q7",508,28,297,0,184,8,41,350,0,163,103,59,70,82,48,39,0,11,0,338,53,7,0,89,0,0,0,0,0,0,5,0,53,0,64,52,0,0,28,0,0
"v4_Least_deprived_q7",426,20,272,0,186,0,40,279,8,136,87,45,76,84,47,35,0,15,0,261,38,0,0,68,0,0,0,0,0,0,0,0,29,0,25,22,0,0,18,0,0
"v3_Least_deprived_q8",296,13,193,0,132,6,29,230,6,104,66,34,58,70,27,28,0,7,0,244,29,8,0,60,0,5,0,0,0,0,5,0,47,0,38,32,0,0,25,0,0
"v4_Least_deprived_q8",376,20,221,0,142,10,33,292,0,127,86,45,65,64,34,26,0,6,0,287,40,0,0,58,0,0,0,5,0,0,0,0,35,0,30,37,0,0,18,0,0
"v3_Least_deprived_q9",332,12,209,0,130,0,32,245,0,120,69,36,66,71,33,18,0,9,0,235,33,0,0,80,0,13,0,7,0,0,8,0,48,0,47,29,0,0,29,0,0
"v4_Least_deprived_q9",332,15,197,0,140,0,32,282,5,114,72,34,56,75,35,25,0,11,0,260,48,0,0,74,0,0,0,0,0,0,6,0,68,0,39,47,0,0,18,0,0
"v3_Least_deprived_q10",240,21,172,0,97,5,47,176,0,106,52,22,51,40,32,23,0,14,0,219,29,5,0,62,0,0,0,0,0,0,0,0,42,0,38,30,0,0,20,0,0
"v4_Least_deprived_q10",285,17,177,0,130,0,37,215,0,120,56,32,58,71,27,15,0,12,0,225,38,11,0,73,0,8,0,0,0,0,0,0,75,0,29,55,0,0,25,0,0
"v3_Least_deprived_q11",204,13,94,0,83,0,26,128,0,72,36,15,26,48,16,17,0,5,0,149,18,5,0,48,0,5,0,0,0,0,0,0,19,0,35,20,0,0,16,0,0
"v4_Least_deprived_q11",235,11,155,0,95,0,38,195,0,94,47,29,37,54,33,20,0,7,0,229,24,10,0,69,0,5,0,5,0,0,0,0,63,0,48,71,0,0,24,0,0
"v3_Least_deprived_q12",170,11,71,0,77,0,24,111,0,86,38,17,20,23,17,8,0,8,0,167,16,0,0,34,0,0,0,0,0,0,0,0,14,0,21,11,0,0,18,0,0
"v4_Least_deprived_q12",273,19,141,0,99,0,34,188,5,123,49,28,41,51,23,28,0,5,0,196,32,7,0,90,0,7,0,0,0,0,0,0,57,0,53,45,0,0,35,0,0
"v3_Least_deprived_q13",86,8,49,0,27,0,12,48,0,45,19,14,19,13,13,9,0,0,0,81,7,0,0,26,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0
"v4_Least_deprived_q13",164,10,99,0,69,0,32,130,0,80,41,23,33,48,21,18,0,11,0,152,15,10,0,52,0,0,0,0,0,0,7,0,42,0,34,31,0,0,23,0,0
"v3_Least_deprived_q14",89,5,47,0,50,0,14,59,0,42,23,9,18,28,5,9,0,0,0,82,9,0,0,14,0,0,0,0,0,0,0,0,11,0,9,8,0,0,6,0,0
"v4_Least_deprived_q14",148,8,81,0,62,0,20,97,0,52,23,12,20,49,11,15,0,7,0,127,9,5,0,42,0,0,0,6,0,0,0,0,16,0,27,14,0,0,19,0,0
"v3_Least_deprived_q15",57,0,15,0,17,0,0,23,0,23,17,5,5,5,5,7,0,0,0,53,8,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"v4_Least_deprived_q15",85,7,54,0,41,0,14,65,0,52,26,18,18,32,5,9,0,0,0,100,8,0,0,24,0,0,0,0,0,0,0,0,9,0,29,6,0,0,19,0,0
"v3_Least_deprived_q16",45,0,18,0,24,0,6,23,0,17,10,0,8,11,7,0,0,0,0,39,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"v4_Least_deprived_q16",71,6,37,0,33,0,6,53,0,38,18,11,14,41,12,7,0,0,0,89,8,0,0,18,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,0,0
"v3_Least_deprived_q17",19,0,7,0,9,0,0,15,0,7,9,0,0,0,8,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Least_deprived_q17",63,7,26,0,30,0,11,22,0,29,20,5,8,24,9,5,0,0,0,55,5,0,0,12,0,0,0,0,0,0,0,0,0,0,25,0,0,0,9,0,0
"v3_Least_deprived_q18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Least_deprived_q18",51,0,16,0,12,0,0,20,0,18,18,0,8,33,6,9,0,0,0,45,0,0,0,10,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,0
"v3_Least_deprived_q19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Least_deprived_q19",14,0,6,0,9,0,0,6,0,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"v3_Least_deprived_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_Least_deprived_q20",6,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v3_O65_q1",1262,57,1339,0,844,49,58,1032,54,365,165,71,236,414,171,145,0,30,0,598,161,7,0,173,0,11,0,5,8,0,0,0,10,0,46,11,0,0,17,0,0
"v4_O65_q1",957,41,925,0,614,34,38,795,44,241,137,31,190,309,136,109,0,22,0,365,123,0,0,99,0,6,0,0,8,0,0,0,5,0,26,0,0,0,9,0,0
"v3_O65_q2",3155,197,2831,0,1750,63,248,2290,96,920,568,178,730,961,381,314,0,68,0,1797,365,7,0,389,0,32,0,15,26,0,8,5,35,0,123,58,0,0,52,0,16
"v4_O65_q2",3245,181,3144,0,1907,85,238,2404,107,912,519,160,755,902,389,293,0,64,0,1493,369,8,0,398,0,28,0,15,16,0,7,0,15,0,109,17,0,0,28,0,17
"v3_O65_q3",4000,242,3616,0,2113,79,360,2838,92,1201,686,288,894,995,497,357,0,80,0,2491,435,9,0,504,0,27,0,24,16,0,9,0,92,0,249,131,0,0,73,0,21
"v4_O65_q3",3133,177,2873,0,1643,65,249,2138,84,918,549,197,730,731,356,274,0,62,0,1747,304,6,0,362,0,16,0,14,12,0,0,0,25,5,141,22,0,0,45,0,10
"v3_O65_q4",2618,154,2184,0,1261,46,258,1890,56,836,459,196,576,612,237,225,0,50,0,1841,234,6,0,349,0,11,0,15,9,0,0,0,91,5,188,122,0,0,74,0,12
"v4_O65_q4",2783,149,2422,0,1314,51,212,1878,57,811,411,167,621,581,282,244,0,50,0,1744,262,0,0,294,0,13,0,15,12,0,7,0,27,0,125,41,0,0,43,0,0
"v3_O65_q5",3114,154,2471,0,1367,38,257,2354,52,1030,525,255,723,733,332,261,0,66,0,2255,251,21,0,495,0,25,0,20,12,0,20,6,223,7,265,192,0,0,131,0,7
"v4_O65_q5",2551,143,2188,0,1200,37,236,1865,47,816,433,191,600,521,284,187,0,51,0,1771,239,0,0,332,0,14,0,12,11,0,6,5,63,0,142,66,0,0,67,0,5
"v3_O65_q6",3297,185,2451,0,1344,43,262,2486,49,1134,553,332,700,660,295,220,0,66,0,2602,306,49,0,606,0,30,0,34,9,0,31,13,420,14,333,282,0,0,187,6,9
"v4_O65_q6",2372,149,1712,0,1022,28,213,1655,37,750,425,197,528,483,228,184,0,41,0,1711,188,14,0,310,0,21,0,21,10,0,5,0,59,6,134,87,0,0,54,0,12
"v3_O65_q7",2464,141,1805,0,990,15,204,1723,33,843,429,228,453,453,209,173,0,50,0,2013,233,35,0,464,0,22,0,18,8,0,19,7,325,8,238,236,0,0,164,0,13
"v4_O65_q7",2066,113,1534,0,886,24,166,1463,37,684,341,201,420,367,201,147,0,42,0,1600,180,9,0,278,0,8,0,12,7,0,18,0,138,0,128,118,0,0,81,0,5
"v3_O65_q8",1581,105,1208,0,661,15,166,1168,19,605,292,170,343,319,136,129,0,25,0,1495,176,23,0,340,0,20,0,17,0,0,21,11,217,9,187,157,0,0,118,0,9
"v4_O65_q8",1887,96,1346,0,752,22,160,1465,15,690,331,196,389,353,165,138,0,35,0,1689,186,8,0,317,0,16,0,13,7,0,14,5,177,8,130,161,0,0,98,0,9
"v3_O65_q9",1803,94,1209,0,760,13,157,1234,12,764,331,186,390,324,151,115,0,54,0,1716,177,26,0,364,0,33,0,18,8,0,32,10,250,7,221,153,0,0,161,0,11
"v4_O65_q9",1876,102,1335,0,743,14,179,1374,21,676,337,220,379,341,158,136,0,41,0,1696,183,16,0,362,0,26,0,20,8,0,18,7,300,7,175,238,0,0,110,0,7
"v3_O65_q10",1501,75,1031,0,613,23,142,1040,17,600,253,158,284,251,130,121,0,36,0,1511,128,18,0,310,0,22,0,25,0,0,14,6,201,8,208,128,0,0,131,0,11
"v4_O65_q10",1594,100,1105,0,691,14,163,1133,14,658,281,194,321,283,147,103,0,35,0,1565,164,33,0,342,0,22,0,20,0,0,20,12,328,8,169,232,0,0,139,0,0
"v3_O65_q11",1227,71,788,0,482,5,118,785,15,490,209,124,238,210,95,80,0,34,0,1281,102,20,0,238,0,24,0,21,0,0,19,0,128,7,157,94,0,0,121,0,9
"v4_O65_q11",1372,70,911,0,553,7,130,1062,9,553,232,156,253,280,128,103,0,40,0,1454,123,37,0,363,0,19,0,20,0,0,20,6,311,8,185,234,0,0,145,0,11
"v3_O65_q12",1092,63,684,0,405,0,101,678,9,468,206,98,196,163,104,77,0,27,0,1241,105,7,0,252,0,17,0,22,0,0,22,0,110,6,138,73,0,0,120,0,9
"v4_O65_q12",1480,93,941,0,535,8,158,1017,13,653,299,159,252,269,130,116,0,34,0,1633,171,35,0,400,0,27,0,27,0,0,30,10,325,12,222,221,0,0,187,0,10
"v3_O65_q13",546,29,358,0,215,0,66,340,7,256,110,54,114,85,58,47,0,10,0,696,59,0,0,111,0,9,0,12,0,0,8,0,39,0,97,44,0,0,45,0,0
"v4_O65_q13",1032,61,700,0,439,0,109,692,12,462,190,124,209,214,104,91,0,37,0,1210,110,27,0,289,0,17,0,18,5,0,16,6,193,8,157,142,0,0,129,0,16
"v3_O65_q14",636,34,409,0,265,0,71,340,0,270,132,58,116,112,52,42,0,20,0,823,64,0,0,99,0,7,0,17,0,0,9,7,49,0,84,38,0,0,46,0,0
"v4_O65_q14",852,51,570,0,338,0,90,625,11,423,188,86,153,188,66,64,0,19,0,1078,92,18,0,218,0,21,0,23,0,0,15,10,126,0,179,87,0,0,113,0,13
"v3_O65_q15",350,23,195,0,132,0,37,176,0,137,69,35,55,43,36,23,0,6,0,459,53,0,0,41,0,7,0,5,0,0,5,0,20,0,45,21,0,0,34,0,0
"v4_O65_q15",593,33,384,0,219,0,55,380,0,286,127,69,109,168,48,47,0,21,0,762,54,8,0,143,0,19,0,15,0,0,17,5,53,0,153,29,0,0,101,0,9
"v3_O65_q16",302,18,177,0,107,0,40,130,0,128,54,32,42,43,23,19,0,0,0,444,37,0,0,37,0,5,0,5,0,0,7,0,9,0,25,7,0,0,32,0,0
"v4_O65_q16",513,27,291,0,204,0,66,260,0,244,105,50,85,173,45,47,0,14,0,747,75,0,0,128,0,16,0,9,0,0,16,0,38,0,167,26,0,0,60,0,0
"v3_O65_q17",170,8,100,0,60,0,21,64,0,85,30,31,22,18,11,16,0,0,0,289,17,0,0,26,0,0,0,0,0,0,0,0,6,0,13,5,0,0,18,0,0
"v4_O65_q17",387,39,224,0,138,0,52,180,0,195,74,46,60,115,27,30,0,8,0,537,37,0,0,75,0,0,0,9,0,0,7,0,28,0,125,19,0,0,52,0,0
"v3_O65_q18",39,0,34,0,13,0,8,26,0,19,11,0,6,8,0,0,0,0,0,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_O65_q18",315,18,179,0,126,0,40,144,0,119,72,36,52,82,17,37,0,7,0,529,35,0,0,69,0,9,0,9,0,0,10,0,12,0,115,7,0,0,39,0,0
"v3_O65_q19",18,0,5,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_O65_q19",110,7,80,0,45,0,16,51,0,43,28,11,11,38,9,10,0,0,0,199,13,0,0,18,0,5,0,0,0,0,0,0,0,0,33,0,0,0,19,0,0
"v3_O65_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_O65_q20",57,0,31,0,20,0,6,17,0,23,7,10,0,9,0,9,0,0,0,128,8,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0
"v3_U25_q1",4537,186,311,54,1833,141,324,6853,78,1495,2945,335,634,69,365,430,317,265,0,2713,797,6,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,6
"v4_U25_q1",4006,169,276,51,1720,117,285,6254,77,1348,2511,288,566,71,328,374,318,224,0,2506,733,7,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,6
"v3_U25_q2",2763,70,120,26,882,83,225,2754,37,764,2126,148,317,33,242,215,227,185,0,2362,403,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"v4_U25_q2",2754,68,132,21,858,105,177,2962,35,745,2278,152,328,22,226,227,181,192,0,2227,426,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
